Time	SWR_F5
19.10.2018 19:08:45	-1.918
19.10.2018 19:09:00	-1.918
19.10.2018 19:09:15	-1.918
19.10.2018 19:09:30	-1.918
19.10.2018 19:09:45	-2.093
19.10.2018 19:10:00	-2.093
19.10.2018 19:10:15	-2.093
19.10.2018 19:10:30	-1.918
19.10.2018 19:10:45	-2.093
19.10.2018 19:11:00	-2.093
19.10.2018 19:11:15	-2.093
19.10.2018 19:11:30	-2.093
19.10.2018 19:11:45	-2.093
19.10.2018 19:12:00	-2.093
19.10.2018 19:12:15	-2.093
19.10.2018 19:12:30	-1.918
19.10.2018 19:12:45	-1.918
19.10.2018 19:13:00	-1.918
19.10.2018 19:13:15	-1.918
19.10.2018 19:13:30	-1.744
19.10.2018 19:13:45	-1.918
19.10.2018 19:14:00	-1.918
19.10.2018 19:14:15	-1.918
19.10.2018 19:14:30	-1.918
19.10.2018 19:14:45	-1.918
19.10.2018 19:15:00	-1.918
19.10.2018 19:15:15	-1.918
19.10.2018 19:15:30	-1.918
19.10.2018 19:15:45	-2.093
19.10.2018 19:16:00	-2.093
19.10.2018 19:16:15	-2.093
19.10.2018 19:16:30	-2.093
19.10.2018 19:16:45	-2.093
19.10.2018 19:17:00	-2.093
19.10.2018 19:17:15	-2.093
19.10.2018 19:17:30	-2.093
19.10.2018 19:17:45	-2.093
19.10.2018 19:18:00	-2.093
19.10.2018 19:18:15	-2.093
19.10.2018 19:18:30	-2.093
19.10.2018 19:18:45	-2.093
19.10.2018 19:19:00	-2.093
19.10.2018 19:19:15	-2.093
19.10.2018 19:19:30	-2.093
19.10.2018 19:19:45	-2.093
19.10.2018 19:20:00	-1.918
19.10.2018 19:20:15	-1.918
19.10.2018 19:20:30	-1.918
19.10.2018 19:20:45	-1.744
19.10.2018 19:21:00	-1.918
19.10.2018 19:21:15	-1.744
19.10.2018 19:21:30	-1.918
19.10.2018 19:21:45	-1.918
19.10.2018 19:22:00	-1.918
19.10.2018 19:22:15	-1.918
19.10.2018 19:22:30	-1.918
19.10.2018 19:22:45	-2.093
19.10.2018 19:23:00	-2.093
19.10.2018 19:23:15	-2.093
19.10.2018 19:23:30	-2.093
19.10.2018 19:23:45	-2.093
19.10.2018 19:24:00	-2.093
19.10.2018 19:24:15	-2.093
19.10.2018 19:24:30	-2.093
19.10.2018 19:24:45	-2.093
19.10.2018 19:25:00	-2.093
19.10.2018 19:25:15	-2.093
19.10.2018 19:25:30	-2.093
19.10.2018 19:25:45	-2.093
19.10.2018 19:26:00	-2.093
19.10.2018 19:26:15	-2.093
19.10.2018 19:26:30	-2.093
19.10.2018 19:26:45	-1.918
19.10.2018 19:27:00	-1.918
19.10.2018 19:27:15	-1.918
19.10.2018 19:27:30	-1.918
19.10.2018 19:27:45	-1.918
19.10.2018 19:28:00	-2.093
19.10.2018 19:28:15	-2.093
19.10.2018 19:28:30	-2.093
19.10.2018 19:28:45	-2.093
19.10.2018 19:29:00	-2.093
19.10.2018 19:29:15	-2.093
19.10.2018 19:29:30	-2.093
19.10.2018 19:29:45	-2.093
19.10.2018 19:30:00	-2.093
19.10.2018 19:30:15	-2.093
19.10.2018 19:30:30	-2.267
19.10.2018 19:30:45	-2.267
19.10.2018 19:31:00	-2.267
19.10.2018 19:31:15	-2.267
19.10.2018 19:31:30	-2.267
19.10.2018 19:31:45	-2.267
19.10.2018 19:32:00	-2.267
19.10.2018 19:32:15	-2.267
19.10.2018 19:32:30	-2.442
19.10.2018 19:32:45	-2.616
19.10.2018 19:33:00	-2.616
19.10.2018 19:33:15	-2.616
19.10.2018 19:33:30	-2.442
19.10.2018 19:33:45	-2.442
19.10.2018 19:34:00	-2.267
19.10.2018 19:34:15	-2.267
19.10.2018 19:34:30	-2.267
19.10.2018 19:34:45	-2.267
19.10.2018 19:35:00	-2.267
19.10.2018 19:35:15	-2.267
19.10.2018 19:35:30	-2.267
19.10.2018 19:35:45	-2.267
19.10.2018 19:36:00	-2.267
19.10.2018 19:36:15	-2.267
19.10.2018 19:36:30	-2.267
19.10.2018 19:36:45	-2.267
19.10.2018 19:37:00	-2.267
19.10.2018 19:37:15	-2.267
19.10.2018 19:37:30	-2.267
19.10.2018 19:37:45	-2.267
19.10.2018 19:38:00	-2.267
19.10.2018 19:38:15	-2.267
19.10.2018 19:38:30	-2.267
19.10.2018 19:38:45	-2.267
19.10.2018 19:39:00	-2.267
19.10.2018 19:39:15	-2.267
19.10.2018 19:39:30	-2.267
19.10.2018 19:39:45	-2.267
19.10.2018 19:40:00	-2.267
19.10.2018 19:40:15	-2.267
19.10.2018 19:40:30	-2.093
19.10.2018 19:40:45	-2.093
19.10.2018 19:41:00	-2.093
19.10.2018 19:41:15	-2.093
19.10.2018 19:41:30	-2.093
19.10.2018 19:41:45	-2.093
19.10.2018 19:42:00	-2.093
19.10.2018 19:42:15	-2.093
19.10.2018 19:42:30	-2.093
19.10.2018 19:42:45	-2.093
19.10.2018 19:43:00	-2.093
19.10.2018 19:43:15	-2.093
19.10.2018 19:43:30	-2.093
19.10.2018 19:43:45	-2.093
19.10.2018 19:44:00	-2.093
19.10.2018 19:44:15	-2.093
19.10.2018 19:44:30	-2.093
19.10.2018 19:44:45	-2.093
19.10.2018 19:45:00	-2.093
19.10.2018 19:45:15	-2.093
19.10.2018 19:45:30	-2.093
19.10.2018 19:45:45	-2.093
19.10.2018 19:46:00	-2.093
19.10.2018 19:46:15	-2.093
19.10.2018 19:46:30	-2.093
19.10.2018 19:46:45	-2.093
19.10.2018 19:47:00	-2.093
19.10.2018 19:47:15	-2.093
19.10.2018 19:47:30	-2.093
19.10.2018 19:47:45	-2.093
19.10.2018 19:48:00	-2.093
19.10.2018 19:48:15	-2.093
19.10.2018 19:48:30	-2.093
19.10.2018 19:48:45	-2.093
19.10.2018 19:49:00	-2.093
19.10.2018 19:49:15	-2.093
19.10.2018 19:49:30	-2.093
19.10.2018 19:49:45	-2.093
19.10.2018 19:50:00	-2.093
19.10.2018 19:50:15	-2.093
19.10.2018 19:50:30	-2.093
19.10.2018 19:50:45	-2.093
19.10.2018 19:51:00	-2.093
19.10.2018 19:51:15	-2.093
19.10.2018 19:51:30	-2.093
19.10.2018 19:51:45	-2.093
19.10.2018 19:52:00	-2.093
19.10.2018 19:52:15	-2.093
19.10.2018 19:52:30	-2.093
19.10.2018 19:52:45	-2.093
